name,url,avg_profit
魏庆国,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30326158,37.192499999999995
黄兴亮,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30266289,37.05888888888889
孙晟,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30402664,36.56333333333334
李晓西,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30562433,35.733333333333334
李健伟,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30167602,35.62
王士聪,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30659448,34.7
余昊,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30419340,34.306666666666665
胡志利,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30349255,31.722499999999997
付伟,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30349259,31.650000000000002
沙川,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30138815,31.6075
查晓磊,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30348143,29.74749999999999
刘树荣,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30442978,29.372083333333336
彭海平,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30205720,29.065
缪东航,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30299886,28.762
李昱,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30536754,27.319090909090914
封晴,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30666398,25.99
黄亮,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30042438,25.762857142857143
韩冰,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30330731,24.740000000000002
杨扬,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30664303,24.3
徐治彪,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30349258,24.18
许定晴,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30057703,19.710000000000004
神爱前,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30080853,19.5925
周思聪,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30260623,16.78333333333333
雷俊,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30309434,14.749444444444444
栾峰,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30670696,8.67
高兵,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30326412,7.26714285714286
陈星,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30667180,3.66
